2018-03-27 12:26:32
ICU_Stage2:Entry Checklist,1460
Mechanical_WFE1_1:Finalise Make,1461
Mechanical_WFE1_1:Identifying Makes,1462
Mechanical_WFE1_1:Highlighting USP,1463
Mechanical_WFE1_1:Calling for Catalogues,1464
Mechanical_WFE1_1:Entry Checklist,1465
Mechanical_WFE1_1:Exit Checklist,1466
Mechanical_WFE1_2:Negotiation,1467
Mechanical_WFE1_2:Make Comparative,1468
Mechanical_WFE1_2:Finalise Termsl,1469
Mechanical_WFE1_2:Approve PO,1470
Mechanical_WFE1_2:Release Payment,1471
Mechanical_WFE1_2:Prepare PO,1472
Mechanical_WFE1_2:Follow Up for Delivery,1473
